gvkey,iid,datadate,tic,prccd
004839,01,2023-08-10,F,12.16000000
004839,01,2023-08-11,F,12.14000000
004839,01,2023-08-14,F,12.20000000
004839,01,2023-08-15,F,11.98000000
004839,01,2023-08-16,F,11.81000000
004839,01,2023-08-17,F,11.83000000
004839,01,2023-08-18,F,11.96000000
004839,01,2023-08-21,F,11.97000000
004839,01,2023-08-22,F,11.87000000
004839,01,2023-08-23,F,11.96000000
004839,01,2023-08-24,F,11.75000000
004839,01,2023-08-25,F,11.91000000
004839,01,2023-08-28,F,11.90000000
004839,01,2023-08-29,F,12.05000000
004839,01,2023-08-30,F,12.03000000
004839,01,2023-08-31,F,12.13000000
004839,01,2023-09-01,F,12.14000000
004839,01,2023-09-05,F,12.09000000
004839,01,2023-09-06,F,12.07000000
004839,01,2023-09-07,F,11.96000000
004839,01,2023-09-08,F,12.30000000
004839,01,2023-09-11,F,12.22000000
004839,01,2023-09-12,F,12.45000000
004839,01,2023-09-13,F,12.64000000
004839,01,2023-09-14,F,12.62000000
004839,01,2023-09-15,F,12.61000000
004839,01,2023-09-18,F,12.34000000
004839,01,2023-09-19,F,12.56000000
004839,01,2023-09-20,F,12.36000000
004839,01,2023-09-21,F,12.20000000
004839,01,2023-09-22,F,12.43000000
004839,01,2023-09-25,F,12.58000000
004839,01,2023-09-26,F,12.43000000
004839,01,2023-09-27,F,12.39000000
004839,01,2023-09-28,F,12.56000000
004839,01,2023-09-29,F,12.42000000
004839,01,2023-10-02,F,12.31000000
004839,01,2023-10-03,F,12.07000000
004839,01,2023-10-04,F,11.99000000
004839,01,2023-10-05,F,11.90000000
004839,01,2023-10-06,F,12.00000000
004839,01,2023-10-09,F,12.07000000
004839,01,2023-10-10,F,12.20000000
004839,01,2023-10-11,F,12.25000000
004839,01,2023-10-12,F,12.00000000
004839,01,2023-10-13,F,11.81000000
004839,01,2023-10-16,F,11.93000000
004839,01,2023-10-17,F,12.04000000
004839,01,2023-10-18,F,11.75000000
004839,01,2023-10-19,F,11.53000000
004839,01,2023-10-20,F,11.64000000
004839,01,2023-10-23,F,11.48000000
004839,01,2023-10-24,F,11.39000000
004839,01,2023-10-25,F,11.54000000
004839,01,2023-10-26,F,11.35000000
004839,01,2023-10-27,F,9.96000000
004839,01,2023-10-30,F,9.77000000
004839,01,2023-10-31,F,9.75000000
004839,01,2023-11-01,F,9.91000000
004839,01,2023-11-02,F,10.14000000
004839,01,2023-11-03,F,10.56000000
004839,01,2023-11-06,F,10.31000000
004839,01,2023-11-07,F,10.17000000
004839,01,2023-11-08,F,10.05000000
004839,01,2023-11-09,F,9.70000000
004839,01,2023-11-10,F,9.86000000
004839,01,2023-11-13,F,9.82000000
004839,01,2023-11-14,F,10.40000000
004839,01,2023-11-15,F,10.47000000
004839,01,2023-11-16,F,10.16000000
004839,01,2023-11-17,F,10.27000000
004839,01,2023-11-20,F,10.34000000
004839,01,2023-11-21,F,10.19000000
004839,01,2023-11-22,F,10.26000000
004839,01,2023-11-24,F,10.40000000
